Gene,Sample,Sample_Type,Expression
CD81,GSM398149,Cancer,3506.27
CD81,GSM398150,Normal,4174.08
CD81,GSM398151,Cancer,3828.67
CD81,GSM398152,Normal,6845.85
CD81,GSM398153,Cancer,3529.76
CD81,GSM398154,Normal,2145.04
CD81,GSM398155,Cancer,1737.43
CD81,GSM398156,Normal,5517.51
CD81,GSM398157,Cancer,4313.97
CD81,GSM398158,Normal,5201.95
CD81,GSM398159,Cancer,4694.11
CD9,GSM398074,Normal,70.2977
CD9,GSM398075,Cancer,1298.28
CD9,GSM398076,Normal,31.3919
CD9,GSM398077,Cancer,1349.99
CD9,GSM398078,Normal,35.0954
CD9,GSM398079,Cancer,1928.3
CD9,GSM398080,Normal,63.2271
CD9,GSM398081,Cancer,620.595
CD9,GSM398082,Normal,102.753
CD9,GSM398083,Cancer,95.1895
CD9,GSM398084,Normal,324.557
CD9,GSM398085,Cancer,557.141
CD9,GSM398086,Normal,859.832
CD9,GSM398087,Cancer,3446.75
CD9,GSM398088,Normal,31.8408
CD9,GSM398089,Cancer,2817.86
CD9,GSM398090,Normal,120.123
CD9,GSM398091,Cancer,181.902
CD9,GSM398092,Normal,63.0052
CD9,GSM398093,Cancer,2128.81
CD9,GSM398094,Normal,24.0701
CD9,GSM398095,Cancer,1058.83
CD9,GSM398096,Normal,93.6595
CD9,GSM398097,Cancer,29.6055
CD9,GSM398098,Normal,939.903
CD9,GSM398099,Cancer,1248.88
CD9,GSM398100,Normal,1167.14
CD9,GSM398101,Cancer,729.391
CD9,GSM398102,Normal,357.508
CD9,GSM398103,Cancer,1984.34
CD9,GSM398104,Normal,198.662
CD9,GSM398105,Cancer,570.704
CD9,GSM398106,Normal,366.857
CD9,GSM398107,Cancer,2121.34
CD9,GSM398108,Normal,1228.01
CD9,GSM398109,Cancer,24.253
CD9,GSM398110,Normal,686.521
CD9,GSM398111,Cancer,720.559
CD9,GSM398112,Normal,484.157
CD9,GSM398113,Cancer,1101.72
CD9,GSM398114,Normal,70.0809
CD9,GSM398115,Cancer,984.895
CD9,GSM398116,Normal,1768.07
CD9,GSM398117,Cancer,1458.78
CD9,GSM398118,Normal,1446.42
CD9,GSM398119,Cancer,1245.44
CD9,GSM398120,Normal,208.281
CD9,GSM398121,Cancer,387.842
CD9,GSM398122,Normal,367.924
CD9,GSM398123,Cancer,174.611
CD9,GSM398124,Normal,135.208
CD9,GSM398125,Cancer,2106.51
CD9,GSM398126,Normal,1023.8
CD9,GSM398127,Cancer,4983.13
CD9,GSM398128,Normal,107.367
CD9,GSM398129,Cancer,5640.53
CD9,GSM398130,Normal,1269.13
CD9,GSM398131,Cancer,3610.44
CD9,GSM398132,Normal,117.965
CD9,GSM398133,Cancer,201.827
CD9,GSM398134,Normal,140.582
CD9,GSM398135,Cancer,3227.09
CD9,GSM398136,Normal,88.5342
CD9,GSM398137,Cancer,3979.04
CD9,GSM398138,Normal,203.816
CD9,GSM398139,Cancer,3820.84
CD9,GSM398140,Normal,124.79
CD9,GSM398141,Cancer,1696.75
CD9,GSM398142,Normal,385.316
CD9,GSM398143,Cancer,2759.26
CD9,GSM398144,Normal,589.889
CD9,GSM398145,Cancer,3795.5
CD9,GSM398146,Normal,744.807
CD9,GSM398147,Cancer,3010.57
CD9,GSM398148,Normal,1448.54
CD9,GSM398149,Cancer,4306.2
CD9,GSM398150,Normal,1045.01
CD9,GSM398151,Cancer,3673.16
CD9,GSM398152,Normal,199.295
CD9,GSM398153,Cancer,912.011
CD9,GSM398154,Normal,40.508
CD9,GSM398155,Cancer,225.04
CD9,GSM398156,Normal,876.19
CD9,GSM398157,Cancer,3713.84
CD9,GSM398158,Normal,202.862
CD9,GSM398159,Cancer,3169.63
CD93,GSM398074,Normal,2388.42
CD93,GSM398075,Cancer,2257.53
CD93,GSM398076,Normal,3372.36
CD93,GSM398077,Cancer,1745.78
CD93,GSM398078,Normal,2392.03
CD93,GSM398079,Cancer,1606.28
CD93,GSM398080,Normal,2506.75
CD93,GSM398081,Cancer,2486.3
CD93,GSM398082,Normal,2976.3
CD93,GSM398083,Cancer,2964.14
CD93,GSM398084,Normal,2583.94
CD93,GSM398085,Cancer,1674.48
CD93,GSM398086,Normal,1448.39
CD93,GSM398087,Cancer,1462.87
CD93,GSM398088,Normal,2391.58
CD93,GSM398089,Cancer,1972.52
CD93,GSM398090,Normal,3004.2
CD93,GSM398091,Cancer,2350.1
CD93,GSM398092,Normal,2419.75
CD93,GSM398093,Cancer,1678.09
CD93,GSM398094,Normal,2910.07
CD93,GSM398095,Cancer,2802.61
CD93,GSM398096,Normal,2814.87
CD93,GSM398097,Cancer,1790.37
CD93,GSM398098,Normal,1727.01
CD93,GSM398099,Cancer,1749.38
CD93,GSM398100,Normal,1787.44
CD93,GSM398101,Cancer,2009.44
CD93,GSM398102,Normal,2479.8
CD93,GSM398103,Cancer,1585.86
CD93,GSM398104,Normal,5190.75
CD93,GSM398105,Cancer,2204.73
CD93,GSM398106,Normal,6313.23
CD93,GSM398107,Cancer,1945.46
CD93,GSM398108,Normal,4370.19
CD93,GSM398109,Cancer,2669.45
CD93,GSM398110,Normal,5102.55
CD93,GSM398111,Cancer,3522.28
CD93,GSM398112,Normal,3086.68
CD93,GSM398113,Cancer,2222.75
CD93,GSM398114,Normal,3044.15
CD93,GSM398115,Cancer,1993.01
CD93,GSM398116,Normal,4246.71
CD93,GSM398117,Cancer,4199.88
CD93,GSM398118,Normal,5917.32
CD93,GSM398119,Cancer,6123.19
CD93,GSM398120,Normal,2188.11
CD93,GSM398121,Cancer,1986.77
CD93,GSM398122,Normal,1940.61
CD93,GSM398123,Cancer,1708.27
CD93,GSM398124,Normal,4680.41
CD93,GSM398125,Cancer,1875.93
CD93,GSM398126,Normal,5241.35
CD93,GSM398127,Cancer,4412.38
CD93,GSM398128,Normal,4022.9
CD93,GSM398129,Cancer,4664.85
CD93,GSM398130,Normal,5507.11
CD93,GSM398131,Cancer,5473.04
CD93,GSM398132,Normal,5300.46
CD93,GSM398133,Cancer,4263.77
CD93,GSM398134,Normal,5479.67
CD93,GSM398135,Cancer,4869.16
CD93,GSM398136,Normal,4861.43
CD93,GSM398137,Cancer,4116.44
CD93,GSM398138,Normal,4183.29
CD93,GSM398139,Cancer,3071.94
CD93,GSM398140,Normal,5295.17
CD93,GSM398141,Cancer,3034.21
CD93,GSM398142,Normal,3820.07
CD93,GSM398143,Cancer,4103.3
CD93,GSM398144,Normal,4490.93
CD93,GSM398145,Cancer,3950.49
CD93,GSM398146,Normal,4198.08
CD93,GSM398147,Cancer,4208.56
CD93,GSM398148,Normal,4219.94
CD93,GSM398149,Cancer,3699.9
CD93,GSM398150,Normal,4968.45
CD93,GSM398151,Cancer,2784.1
CD93,GSM398152,Normal,5513.6
CD93,GSM398153,Cancer,5618.28
CD93,GSM398154,Normal,2918.56
CD93,GSM398155,Cancer,4191.37
CD93,GSM398156,Normal,5585.21
CD93,GSM398157,Cancer,3936.8
CD93,GSM398158,Normal,4394.15
CD93,GSM398159,Cancer,4658.0
CD99,GSM398074,Normal,1938.13
CD99,GSM398075,Cancer,2215.44
CD99,GSM398076,Normal,1372.59
CD99,GSM398077,Cancer,1579.4
CD99,GSM398078,Normal,2325.35
CD99,GSM398079,Cancer,1569.17
CD99,GSM398080,Normal,2611.42
CD99,GSM398081,Cancer,2336.17
CD99,GSM398082,Normal,3091.83
CD99,GSM398083,Cancer,1464.67
CD99,GSM398084,Normal,2272.46
CD99,GSM398085,Cancer,1753.96
CD99,GSM398086,Normal,1715.56
CD99,GSM398087,Cancer,2040.03
CD99,GSM398088,Normal,2105.5
CD99,GSM398089,Cancer,3652.9
CD99,GSM398090,Normal,2130.19
CD99,GSM398091,Cancer,1515.48
CD99,GSM398092,Normal,2010.21
CD99,GSM398093,Cancer,1659.9
CD99,GSM398094,Normal,2781.63
CD99,GSM398095,Cancer,2106.27
CD99,GSM398096,Normal,3246.37
CD99,GSM398097,Cancer,1285.09
CD99,GSM398098,Normal,1175.89
CD99,GSM398099,Cancer,2064.15
CD99,GSM398100,Normal,1407.52
CD99,GSM398101,Cancer,1497.95
CD99,GSM398102,Normal,4171.72
CD99,GSM398103,Cancer,1167.26
CD99,GSM398104,Normal,5893.32
CD99,GSM398105,Cancer,1843.84
CD99,GSM398106,Normal,5253.22
CD99,GSM398107,Cancer,3184.34
CD99,GSM398108,Normal,7900.24
CD99,GSM398109,Cancer,2691.08
CD99,GSM398110,Normal,7752.34
CD99,GSM398111,Cancer,2017.03
CD99,GSM398112,Normal,3462.89
CD99,GSM398113,Cancer,1996.41
CD99,GSM398114,Normal,3473.03
CD99,GSM398115,Cancer,2609.11
CD99,GSM398116,Normal,3491.82
CD99,GSM398117,Cancer,4007.08
CD99,GSM398118,Normal,7036.58
CD99,GSM398119,Cancer,5884.59
CD99,GSM398120,Normal,4506.67
CD99,GSM398121,Cancer,1796.18
CD99,GSM398122,Normal,2271.65
CD99,GSM398123,Cancer,2392.7
CD99,GSM398124,Normal,3804.8
CD99,GSM398125,Cancer,2220.45
CD99,GSM398126,Normal,4289.79
CD99,GSM398127,Cancer,5130.61
CD99,GSM398128,Normal,4811.47
CD99,GSM398129,Cancer,4757.59
CD99,GSM398130,Normal,5741.35
CD99,GSM398131,Cancer,5276.35
CD99,GSM398132,Normal,4025.13
CD99,GSM398133,Cancer,4001.97
CD99,GSM398134,Normal,3701.46
CD99,GSM398135,Cancer,4015.4
CD99,GSM398136,Normal,3696.38
CD99,GSM398137,Cancer,4609.81
CD99,GSM398138,Normal,4679.24
CD99,GSM398139,Cancer,2679.6
CD99,GSM398140,Normal,4840.92
CD99,GSM398141,Cancer,2411.76
CD99,GSM398142,Normal,4684.69
CD99,GSM398143,Cancer,3388.66
CD99,GSM398144,Normal,4548.92
CD99,GSM398145,Cancer,3889.17
CD99,GSM398146,Normal,5087.42
CD99,GSM398147,Cancer,4118.17
CD99,GSM398148,Normal,4069.21
CD99,GSM398149,Cancer,2770.31
CD99,GSM398150,Normal,5667.83
CD99,GSM398151,Cancer,2464.72
CD99,GSM398152,Normal,2679.56
CD99,GSM398153,Cancer,3596.07
CD99,GSM398154,Normal,3442.94
CD99,GSM398155,Cancer,2597.54
CD99,GSM398156,Normal,4932.22
CD99,GSM398157,Cancer,2552.72
CD99,GSM398158,Normal,4077.0
CD99,GSM398159,Cancer,3653.81
CDH1,GSM398074,Normal,593.988
CDH1,GSM398075,Cancer,2229.44
CDH1,GSM398076,Normal,183.43
CDH1,GSM398077,Cancer,3034.12
CDH1,GSM398078,Normal,623.914
CDH1,GSM398079,Cancer,4115.45
CDH1,GSM398080,Normal,115.831
CDH1,GSM398081,Cancer,1411.57
CDH1,GSM398082,Normal,240.532
CDH1,GSM398083,Cancer,522.732
CDH1,GSM398084,Normal,125.813
CDH1,GSM398085,Cancer,1361.8
CDH1,GSM398086,Normal,2558.08
CDH1,GSM398087,Cancer,2030.31
CDH1,GSM398088,Normal,194.588
CDH1,GSM398089,Cancer,1150.92
CDH1,GSM398090,Normal,104.594
CDH1,GSM398091,Cancer,1052.05
CDH1,GSM398092,Normal,102.42
CDH1,GSM398093,Cancer,2637.26
CDH1,GSM398094,Normal,217.288
CDH1,GSM398095,Cancer,1909.61
CDH1,GSM398096,Normal,1267.23
CDH1,GSM398097,Cancer,1032.58
CDH1,GSM398098,Normal,1882.61
CDH1,GSM398099,Cancer,2373.0
CDH1,GSM398100,Normal,564.153
CDH1,GSM398101,Cancer,658.886
CDH1,GSM398102,Normal,74.8106
CDH1,GSM398103,Cancer,2129.93
CDH1,GSM398104,Normal,487.791
CDH1,GSM398105,Cancer,3067.71
CDH1,GSM398106,Normal,148.421
CDH1,GSM398107,Cancer,3587.65
CDH1,GSM398108,Normal,279.439
CDH1,GSM398109,Cancer,309.374
CDH1,GSM398110,Normal,180.485
CDH1,GSM398111,Cancer,1316.74
CDH1,GSM398112,Normal,414.814
CDH1,GSM398113,Cancer,1945.67
CDH1,GSM398114,Normal,64.3116
CDH1,GSM398115,Cancer,1302.2
CDH1,GSM398116,Normal,4190.4
CDH1,GSM398117,Cancer,4624.66
CDH1,GSM398118,Normal,161.487
CDH1,GSM398119,Cancer,305.92
CDH1,GSM398120,Normal,161.769
CDH1,GSM398121,Cancer,628.502
CDH1,GSM398122,Normal,711.596
CDH1,GSM398123,Cancer,1884.56
CDH1,GSM398124,Normal,106.761
CDH1,GSM398125,Cancer,1480.53
CDH1,GSM398126,Normal,182.687
CDH1,GSM398127,Cancer,3945.98
CDH1,GSM398128,Normal,112.161
CDH1,GSM398129,Cancer,1660.47
CDH1,GSM398130,Normal,248.955
CDH1,GSM398131,Cancer,4541.63
CDH1,GSM398132,Normal,194.918
CDH1,GSM398133,Cancer,200.981
CDH1,GSM398134,Normal,402.931
CDH1,GSM398135,Cancer,710.106
CDH1,GSM398136,Normal,466.411
CDH1,GSM398137,Cancer,532.703
CDH1,GSM398138,Normal,205.42
CDH1,GSM398139,Cancer,1541.59
CDH1,GSM398140,Normal,656.969
CDH1,GSM398141,Cancer,1880.57
CDH1,GSM398142,Normal,807.364
CDH1,GSM398143,Cancer,2091.3
CDH1,GSM398144,Normal,260.104
CDH1,GSM398145,Cancer,2792.79
CDH1,GSM398146,Normal,437.758
CDH1,GSM398147,Cancer,1186.01
CDH1,GSM398148,Normal,957.343
CDH1,GSM398149,Cancer,1699.58
CDH1,GSM398150,Normal,220.162
CDH1,GSM398151,Cancer,6042.01
CDH1,GSM398152,Normal,248.852
CDH1,GSM398153,Cancer,1043.72
CDH1,GSM398154,Normal,193.081
CDH1,GSM398155,Cancer,943.278
CDH1,GSM398156,Normal,57.9262
CDH1,GSM398157,Cancer,5533.34
CDH1,GSM398158,Normal,988.515
CDH1,GSM398159,Cancer,2730.27
CDKN1C,GSM398074,Normal,1111.42
CDKN1C,GSM398075,Cancer,970.729
CDKN1C,GSM398076,Normal,1064.7
CDKN1C,GSM398077,Cancer,717.821
CDKN1C,GSM398078,Normal,2408.93
CDKN1C,GSM398079,Cancer,739.855
CDKN1C,GSM398080,Normal,1993.73
CDKN1C,GSM398081,Cancer,1690.81
CDKN1C,GSM398082,Normal,2583.3
CDKN1C,GSM398083,Cancer,1348.81
CDKN1C,GSM398084,Normal,2286.07
CDKN1C,GSM398085,Cancer,1416.41
CDKN1C,GSM398086,Normal,1518.59
CDKN1C,GSM398087,Cancer,909.73
CDKN1C,GSM398088,Normal,1167.14
CDKN1C,GSM398089,Cancer,639.607
CDKN1C,GSM398090,Normal,1512.99
CDKN1C,GSM398091,Cancer,742.216
CDKN1C,GSM398092,Normal,2283.03
CDKN1C,GSM398093,Cancer,786.547
CDKN1C,GSM398094,Normal,1769.53
CDKN1C,GSM398095,Cancer,745.612
CDKN1C,GSM398096,Normal,2195.83
CDKN1C,GSM398097,Cancer,648.38
CDKN1C,GSM398098,Normal,701.162
CDKN1C,GSM398099,Cancer,839.068
CDKN1C,GSM398100,Normal,1115.59
CDKN1C,GSM398101,Cancer,575.905
CDKN1C,GSM398102,Normal,1944.58
CDKN1C,GSM398103,Cancer,489.771
CDKN1C,GSM398104,Normal,3533.17
CDKN1C,GSM398105,Cancer,1151.55
CDKN1C,GSM398106,Normal,1991.11
CDKN1C,GSM398107,Cancer,808.241
CDKN1C,GSM398108,Normal,5077.35
CDKN1C,GSM398109,Cancer,1992.32
CDKN1C,GSM398110,Normal,4703.5
CDKN1C,GSM398111,Cancer,1762.84
CDKN1C,GSM398112,Normal,2421.79
CDKN1C,GSM398113,Cancer,874.976
CDKN1C,GSM398114,Normal,1985.33
CDKN1C,GSM398115,Cancer,1493.36
CDKN1C,GSM398116,Normal,4393.87
CDKN1C,GSM398117,Cancer,1354.29
CDKN1C,GSM398118,Normal,3027.9
CDKN1C,GSM398119,Cancer,2489.51
CDKN1C,GSM398120,Normal,1064.48
CDKN1C,GSM398121,Cancer,1021.0
CDKN1C,GSM398122,Normal,1354.82
CDKN1C,GSM398123,Cancer,768.961
CDKN1C,GSM398124,Normal,2271.48
CDKN1C,GSM398125,Cancer,1334.62
CDKN1C,GSM398126,Normal,1659.68
CDKN1C,GSM398127,Cancer,614.873
CDKN1C,GSM398128,Normal,3919.08
CDKN1C,GSM398129,Cancer,1367.08
CDKN1C,GSM398130,Normal,2876.07
CDKN1C,GSM398131,Cancer,902.039
CDKN1C,GSM398132,Normal,3262.13
CDKN1C,GSM398133,Cancer,915.125
CDKN1C,GSM398134,Normal,3258.1
CDKN1C,GSM398135,Cancer,1992.0
CDKN1C,GSM398136,Normal,3912.83
CDKN1C,GSM398137,Cancer,1732.71
CDKN1C,GSM398138,Normal,3735.03
CDKN1C,GSM398139,Cancer,2105.38
CDKN1C,GSM398140,Normal,2947.27
CDKN1C,GSM398141,Cancer,1395.38
CDKN1C,GSM398142,Normal,3486.58
CDKN1C,GSM398143,Cancer,2284.99
CDKN1C,GSM398144,Normal,2619.77
CDKN1C,GSM398145,Cancer,1948.43
CDKN1C,GSM398146,Normal,5120.47
CDKN1C,GSM398147,Cancer,3222.28
CDKN1C,GSM398148,Normal,2886.1
CDKN1C,GSM398149,Cancer,1070.13
CDKN1C,GSM398150,Normal,3697.51
CDKN1C,GSM398151,Cancer,1370.99
CDKN1C,GSM398152,Normal,4571.25
CDKN1C,GSM398153,Cancer,3062.57
CDKN1C,GSM398154,Normal,3527.81
CDKN1C,GSM398155,Cancer,1270.96
CDKN1C,GSM398156,Normal,1964.9
CDKN1C,GSM398157,Cancer,1294.77
CDKN1C,GSM398158,Normal,3306.96
CDKN1C,GSM398159,Cancer,1109.07
CDKN2C,GSM398074,Normal,188.671
CDKN2C,GSM398075,Cancer,109.15
CDKN2C,GSM398076,Normal,175.424
CDKN2C,GSM398077,Cancer,123.759
CDKN2C,GSM398078,Normal,298.551
CDKN2C,GSM398079,Cancer,198.345
CDKN2C,GSM398080,Normal,317.79
CDKN2C,GSM398081,Cancer,198.528
CDKN2C,GSM398082,Normal,2877.65
CDKN2C,GSM398083,Cancer,271.01
CDKN2C,GSM398084,Normal,1783.95
CDKN2C,GSM398085,Cancer,126.034
CDKN2C,GSM398086,Normal,225.717
CDKN2C,GSM398087,Cancer,455.104
CDKN2C,GSM398088,Normal,847.754
CDKN2C,GSM398089,Cancer,195.273
CDKN2C,GSM398090,Normal,356.088
CDKN2C,GSM398091,Cancer,180.481
CDKN2C,GSM398092,Normal,556.97
CDKN2C,GSM398093,Cancer,114.047
CDKN2C,GSM398094,Normal,857.171
CDKN2C,GSM398095,Cancer,175.471
CDKN2C,GSM398096,Normal,197.163
CDKN2C,GSM398097,Cancer,67.0248
CDKN2C,GSM398098,Normal,92.4015
CDKN2C,GSM398099,Cancer,297.148
CDKN2C,GSM398100,Normal,207.499
CDKN2C,GSM398101,Cancer,77.2022
CDKN2C,GSM398102,Normal,2257.15
CDKN2C,GSM398103,Cancer,264.26
CDKN2C,GSM398104,Normal,4214.13
CDKN2C,GSM398105,Cancer,148.173
CDKN2C,GSM398106,Normal,2647.72
CDKN2C,GSM398107,Cancer,575.903
CDKN2C,GSM398108,Normal,1334.98
CDKN2C,GSM398109,Cancer,785.92
CDKN2C,GSM398110,Normal,7323.78
CDKN2C,GSM398111,Cancer,385.044
CDKN2C,GSM398112,Normal,2356.96
CDKN2C,GSM398113,Cancer,494.583
CDKN2C,GSM398114,Normal,2897.3
CDKN2C,GSM398115,Cancer,848.302
CDKN2C,GSM398116,Normal,3725.17
CDKN2C,GSM398117,Cancer,578.252
CDKN2C,GSM398118,Normal,1357.22
CDKN2C,GSM398119,Cancer,438.541
CDKN2C,GSM398120,Normal,1382.43
CDKN2C,GSM398121,Cancer,356.686
CDKN2C,GSM398122,Normal,372.976
CDKN2C,GSM398123,Cancer,492.368
CDKN2C,GSM398124,Normal,760.947
CDKN2C,GSM398125,Cancer,185.025
CDKN2C,GSM398126,Normal,1322.04
CDKN2C,GSM398127,Cancer,208.569
CDKN2C,GSM398128,Normal,3938.97
CDKN2C,GSM398129,Cancer,240.742
CDKN2C,GSM398130,Normal,557.437
CDKN2C,GSM398131,Cancer,289.168
CDKN2C,GSM398132,Normal,2367.64
CDKN2C,GSM398133,Cancer,135.386
CDKN2C,GSM398134,Normal,722.261
CDKN2C,GSM398135,Cancer,273.305
CDKN2C,GSM398136,Normal,2172.0
CDKN2C,GSM398137,Cancer,253.511
CDKN2C,GSM398138,Normal,2867.93
CDKN2C,GSM398139,Cancer,357.869
CDKN2C,GSM398140,Normal,3539.96
CDKN2C,GSM398141,Cancer,842.82
CDKN2C,GSM398142,Normal,1913.95
CDKN2C,GSM398143,Cancer,315.632
CDKN2C,GSM398144,Normal,1520.69
CDKN2C,GSM398145,Cancer,355.478
CDKN2C,GSM398146,Normal,2207.78
CDKN2C,GSM398147,Cancer,374.855
CDKN2C,GSM398148,Normal,1586.55
CDKN2C,GSM398149,Cancer,279.52
CDKN2C,GSM398150,Normal,2763.48
CDKN2C,GSM398151,Cancer,838.634
CDKN2C,GSM398152,Normal,1355.94
CDKN2C,GSM398153,Cancer,436.263
CDKN2C,GSM398154,Normal,1745.39
CDKN2C,GSM398155,Cancer,400.872
CDKN2C,GSM398156,Normal,1749.6
CDKN2C,GSM398157,Cancer,305.218
CDKN2C,GSM398158,Normal,1949.5
CDKN2C,GSM398159,Cancer,331.026
CEACAM6,GSM398074,Normal,881.945
CEACAM6,GSM398075,Cancer,866.8385000000001
CEACAM6,GSM398076,Normal,1107.165
CEACAM6,GSM398077,Cancer,3966.58
CEACAM6,GSM398078,Normal,1484.415
CEACAM6,GSM398079,Cancer,4110.785
CEACAM6,GSM398080,Normal,809.488
CEACAM6,GSM398081,Cancer,643.8465
CEACAM6,GSM398082,Normal,664.693
CEACAM6,GSM398083,Cancer,1341.7600000000002
CEACAM6,GSM398084,Normal,715.288
CEACAM6,GSM398085,Cancer,995.769
CEACAM6,GSM398086,Normal,859.3340000000001
CEACAM6,GSM398087,Cancer,727.821
CEACAM6,GSM398088,Normal,972.336
CEACAM6,GSM398089,Cancer,2983.67
CEACAM6,GSM398090,Normal,1080.1019999999999
CEACAM6,GSM398091,Cancer,837.3905
CEACAM6,GSM398092,Normal,1004.3855
CEACAM6,GSM398093,Cancer,1729.06
CEACAM6,GSM398094,Normal,1091.3899999999999
CEACAM6,GSM398095,Cancer,3283.45
CEACAM6,GSM398096,Normal,1108.2395000000001
CEACAM6,GSM398097,Cancer,1050.241
CEACAM6,GSM398098,Normal,741.2090000000001
CEACAM6,GSM398099,Cancer,1098.555
CEACAM6,GSM398100,Normal,795.448
CEACAM6,GSM398101,Cancer,857.2674999999999
CEACAM6,GSM398102,Normal,642.278
CEACAM6,GSM398103,Cancer,3296.115
CEACAM6,GSM398104,Normal,2059.785
CEACAM6,GSM398105,Cancer,3218.245
CEACAM6,GSM398106,Normal,1390.35
CEACAM6,GSM398107,Cancer,3165.44
CEACAM6,GSM398108,Normal,1442.65
CEACAM6,GSM398109,Cancer,1146.6515
CEACAM6,GSM398110,Normal,909.0545
CEACAM6,GSM398111,Cancer,894.0505
CEACAM6,GSM398112,Normal,933.948
CEACAM6,GSM398113,Cancer,801.2995000000001
CEACAM6,GSM398114,Normal,657.6745000000001
CEACAM6,GSM398115,Cancer,791.2255
CEACAM6,GSM398116,Normal,1280.79
CEACAM6,GSM398117,Cancer,2339.3900000000003
CEACAM6,GSM398118,Normal,1494.9299999999998
CEACAM6,GSM398119,Cancer,1126.76
CEACAM6,GSM398120,Normal,797.0219999999999
CEACAM6,GSM398121,Cancer,1205.51
CEACAM6,GSM398122,Normal,889.8444999999999
CEACAM6,GSM398123,Cancer,742.2484999999999
CEACAM6,GSM398124,Normal,818.4269999999999
CEACAM6,GSM398125,Cancer,960.4375
CEACAM6,GSM398126,Normal,1643.49
CEACAM6,GSM398127,Cancer,4147.96
CEACAM6,GSM398128,Normal,1644.6100000000001
CEACAM6,GSM398129,Cancer,3878.035
CEACAM6,GSM398130,Normal,2021.9050000000002
CEACAM6,GSM398131,Cancer,5807.215
CEACAM6,GSM398132,Normal,1638.67
CEACAM6,GSM398133,Cancer,1519.0
CEACAM6,GSM398134,Normal,1375.995
CEACAM6,GSM398135,Cancer,1915.655
CEACAM6,GSM398136,Normal,1499.15
CEACAM6,GSM398137,Cancer,2545.69
CEACAM6,GSM398138,Normal,1746.75
CEACAM6,GSM398139,Cancer,2334.4700000000003
CEACAM6,GSM398140,Normal,1345.8899999999999
CEACAM6,GSM398141,Cancer,2072.0
CEACAM6,GSM398142,Normal,1590.155
CEACAM6,GSM398143,Cancer,1660.54
CEACAM6,GSM398144,Normal,1534.5949999999998
CEACAM6,GSM398145,Cancer,1828.92
CEACAM6,GSM398146,Normal,1264.5349999999999
CEACAM6,GSM398147,Cancer,1307.0035
CEACAM6,GSM398148,Normal,1411.02
CEACAM6,GSM398149,Cancer,2902.0699999999997
CEACAM6,GSM398150,Normal,1384.9
CEACAM6,GSM398151,Cancer,767.8455
CEACAM6,GSM398152,Normal,1087.8905
CEACAM6,GSM398153,Cancer,1128.7984999999999
CEACAM6,GSM398154,Normal,1781.7150000000001
CEACAM6,GSM398155,Cancer,2063.98
CEACAM6,GSM398156,Normal,1262.04
CEACAM6,GSM398157,Cancer,5992.78
CEACAM6,GSM398158,Normal,2530.31
CEACAM6,GSM398159,Cancer,1228.72
CEBPB,GSM398074,Normal,562.958
CEBPB,GSM398075,Cancer,1730.37
CEBPB,GSM398076,Normal,680.463
CEBPB,GSM398077,Cancer,487.036
CEBPB,GSM398078,Normal,1110.02
CEBPB,GSM398079,Cancer,520.278
CEBPB,GSM398080,Normal,1464.91
CEBPB,GSM398081,Cancer,733.723
CEBPB,GSM398082,Normal,2158.43
CEBPB,GSM398083,Cancer,819.51
CEBPB,GSM398084,Normal,1666.48
CEBPB,GSM398085,Cancer,710.241
CEBPB,GSM398086,Normal,697.656
CEBPB,GSM398087,Cancer,1517.77
CEBPB,GSM398088,Normal,1743.88
CEBPB,GSM398089,Cancer,840.589
CEBPB,GSM398090,Normal,941.892
CEBPB,GSM398091,Cancer,1337.12
CEBPB,GSM398092,Normal,1709.53
CEBPB,GSM398093,Cancer,1131.23
CEBPB,GSM398094,Normal,1273.23
CEBPB,GSM398095,Cancer,1415.74
CEBPB,GSM398096,Normal,1099.78
CEBPB,GSM398097,Cancer,782.18
CEBPB,GSM398098,Normal,1155.94
CEBPB,GSM398099,Cancer,545.706
CEBPB,GSM398100,Normal,495.933
CEBPB,GSM398101,Cancer,3584.47
CEBPB,GSM398102,Normal,2456.59
CEBPB,GSM398103,Cancer,322.836
CEBPB,GSM398104,Normal,3162.66
CEBPB,GSM398105,Cancer,1116.1
CEBPB,GSM398106,Normal,3492.35
CEBPB,GSM398107,Cancer,1958.88
CEBPB,GSM398108,Normal,3118.38
CEBPB,GSM398109,Cancer,955.699
CEBPB,GSM398110,Normal,5219.4
CEBPB,GSM398111,Cancer,1335.58
CEBPB,GSM398112,Normal,1686.36
CEBPB,GSM398113,Cancer,1070.21
CEBPB,GSM398114,Normal,1874.35
CEBPB,GSM398115,Cancer,1484.17
CEBPB,GSM398116,Normal,3310.73
CEBPB,GSM398117,Cancer,856.477
CEBPB,GSM398118,Normal,2707.09
CEBPB,GSM398119,Cancer,2681.72
CEBPB,GSM398120,Normal,1623.33
CEBPB,GSM398121,Cancer,695.727
CEBPB,GSM398122,Normal,1282.66
CEBPB,GSM398123,Cancer,915.085
CEBPB,GSM398124,Normal,1893.64
CEBPB,GSM398125,Cancer,1661.85
CEBPB,GSM398126,Normal,3501.24
CEBPB,GSM398127,Cancer,3731.0
CEBPB,GSM398128,Normal,3114.63
CEBPB,GSM398129,Cancer,1674.64
CEBPB,GSM398130,Normal,1895.88
CEBPB,GSM398131,Cancer,1298.72
