Gene,Sample,Sample_Type,Expression
208246_x_at,GSM398112,Normal,1027.82
208246_x_at,GSM398113,Cancer,2560.32
208246_x_at,GSM398114,Normal,794.779
208246_x_at,GSM398115,Cancer,1613.67
208246_x_at,GSM398116,Normal,2926.06
208246_x_at,GSM398117,Cancer,1052.39
208246_x_at,GSM398118,Normal,1940.57
208246_x_at,GSM398119,Cancer,1941.83
208246_x_at,GSM398120,Normal,859.394
208246_x_at,GSM398121,Cancer,1252.83
208246_x_at,GSM398122,Normal,1342.72
208246_x_at,GSM398123,Cancer,1136.69
208246_x_at,GSM398124,Normal,650.537
208246_x_at,GSM398125,Cancer,2870.43
208246_x_at,GSM398126,Normal,4059.96
208246_x_at,GSM398127,Cancer,3162.54
208246_x_at,GSM398128,Normal,1188.58
208246_x_at,GSM398129,Cancer,1361.64
208246_x_at,GSM398130,Normal,470.153
208246_x_at,GSM398131,Cancer,3026.22
208246_x_at,GSM398132,Normal,2443.27
208246_x_at,GSM398133,Cancer,3790.57
208246_x_at,GSM398134,Normal,572.259
208246_x_at,GSM398135,Cancer,1674.66
208246_x_at,GSM398136,Normal,2530.19
208246_x_at,GSM398137,Cancer,1965.66
208246_x_at,GSM398138,Normal,177.315
208246_x_at,GSM398139,Cancer,2679.46
208246_x_at,GSM398140,Normal,491.261
208246_x_at,GSM398141,Cancer,317.689
208246_x_at,GSM398142,Normal,1308.94
208246_x_at,GSM398143,Cancer,3502.66
208246_x_at,GSM398144,Normal,1762.31
208246_x_at,GSM398145,Cancer,3008.13
208246_x_at,GSM398146,Normal,3427.8
208246_x_at,GSM398147,Cancer,3676.68
208246_x_at,GSM398148,Normal,810.976
208246_x_at,GSM398149,Cancer,4316.6
208246_x_at,GSM398150,Normal,2006.7
208246_x_at,GSM398151,Cancer,4340.45
208246_x_at,GSM398152,Normal,2380.01
208246_x_at,GSM398153,Cancer,1268.78
208246_x_at,GSM398154,Normal,1488.76
208246_x_at,GSM398155,Cancer,2364.16
208246_x_at,GSM398156,Normal,1633.6
208246_x_at,GSM398157,Cancer,5759.45
208246_x_at,GSM398158,Normal,1214.87
208246_x_at,GSM398159,Cancer,1616.24
213657_s_at,GSM398074,Normal,1105.49
213657_s_at,GSM398075,Cancer,1378.54
213657_s_at,GSM398076,Normal,1808.18
213657_s_at,GSM398077,Cancer,1703.08
213657_s_at,GSM398078,Normal,1840.67
213657_s_at,GSM398079,Cancer,1387.42
213657_s_at,GSM398080,Normal,2050.44
213657_s_at,GSM398081,Cancer,1414.06
213657_s_at,GSM398082,Normal,1373.67
213657_s_at,GSM398083,Cancer,1378.07
213657_s_at,GSM398084,Normal,829.96
213657_s_at,GSM398085,Cancer,1139.76
213657_s_at,GSM398086,Normal,1500.61
213657_s_at,GSM398087,Cancer,1646.28
213657_s_at,GSM398088,Normal,2241.47
213657_s_at,GSM398089,Cancer,1834.87
213657_s_at,GSM398090,Normal,1486.46
213657_s_at,GSM398091,Cancer,1694.07
213657_s_at,GSM398092,Normal,1199.68
213657_s_at,GSM398093,Cancer,1406.47
213657_s_at,GSM398094,Normal,1044.48
213657_s_at,GSM398095,Cancer,1432.31
213657_s_at,GSM398096,Normal,1599.63
213657_s_at,GSM398097,Cancer,2326.42
213657_s_at,GSM398098,Normal,1884.28
213657_s_at,GSM398099,Cancer,1801.61
213657_s_at,GSM398100,Normal,1812.79
213657_s_at,GSM398101,Cancer,2064.64
213657_s_at,GSM398102,Normal,1346.47
213657_s_at,GSM398103,Cancer,1305.71
213657_s_at,GSM398104,Normal,4856.55
213657_s_at,GSM398105,Cancer,595.128
213657_s_at,GSM398106,Normal,2736.97
213657_s_at,GSM398107,Cancer,1156.22
213657_s_at,GSM398108,Normal,2748.52
213657_s_at,GSM398109,Cancer,1102.75
213657_s_at,GSM398110,Normal,2549.14
213657_s_at,GSM398111,Cancer,1169.7
213657_s_at,GSM398112,Normal,1159.1
213657_s_at,GSM398113,Cancer,1603.24
213657_s_at,GSM398114,Normal,1373.58
213657_s_at,GSM398115,Cancer,1403.67
213657_s_at,GSM398116,Normal,2640.58
213657_s_at,GSM398117,Cancer,2923.02
213657_s_at,GSM398118,Normal,2938.33
213657_s_at,GSM398119,Cancer,3309.14
213657_s_at,GSM398120,Normal,1383.75
213657_s_at,GSM398121,Cancer,1223.54
213657_s_at,GSM398122,Normal,2323.04
213657_s_at,GSM398123,Cancer,1404.92
213657_s_at,GSM398124,Normal,2316.84
213657_s_at,GSM398125,Cancer,2159.6
213657_s_at,GSM398126,Normal,4224.65
213657_s_at,GSM398127,Cancer,2639.79
213657_s_at,GSM398128,Normal,2791.22
213657_s_at,GSM398129,Cancer,2889.23
213657_s_at,GSM398130,Normal,4192.04
213657_s_at,GSM398131,Cancer,3028.71
213657_s_at,GSM398132,Normal,2910.77
213657_s_at,GSM398133,Cancer,3457.6
213657_s_at,GSM398134,Normal,2702.52
213657_s_at,GSM398135,Cancer,3743.39
213657_s_at,GSM398136,Normal,2937.07
213657_s_at,GSM398137,Cancer,3692.24
213657_s_at,GSM398138,Normal,3326.48
213657_s_at,GSM398139,Cancer,3273.2
213657_s_at,GSM398140,Normal,3688.35
213657_s_at,GSM398141,Cancer,3433.79
213657_s_at,GSM398142,Normal,3343.67
213657_s_at,GSM398143,Cancer,2884.18
213657_s_at,GSM398144,Normal,3071.92
213657_s_at,GSM398145,Cancer,3641.66
213657_s_at,GSM398146,Normal,3117.28
213657_s_at,GSM398147,Cancer,2578.27
213657_s_at,GSM398148,Normal,3495.73
213657_s_at,GSM398149,Cancer,2189.66
213657_s_at,GSM398150,Normal,2899.73
213657_s_at,GSM398151,Cancer,3141.48
213657_s_at,GSM398152,Normal,4701.79
213657_s_at,GSM398153,Cancer,3088.11
213657_s_at,GSM398154,Normal,6757.65
213657_s_at,GSM398155,Cancer,4505.06
213657_s_at,GSM398156,Normal,3310.58
213657_s_at,GSM398157,Cancer,4316.23
213657_s_at,GSM398158,Normal,4225.13
213657_s_at,GSM398159,Cancer,3212.38
215479_at,GSM398074,Normal,6447.57
215479_at,GSM398075,Cancer,3879.01
215479_at,GSM398076,Normal,5340.17
215479_at,GSM398077,Cancer,5039.57
215479_at,GSM398078,Normal,4473.85
215479_at,GSM398079,Cancer,3647.33
215479_at,GSM398080,Normal,4543.97
215479_at,GSM398081,Cancer,3855.75
215479_at,GSM398082,Normal,5359.17
215479_at,GSM398083,Cancer,4769.25
215479_at,GSM398084,Normal,2707.93
215479_at,GSM398085,Cancer,5077.64
215479_at,GSM398086,Normal,4837.91
215479_at,GSM398087,Cancer,3624.6
215479_at,GSM398088,Normal,6372.09
215479_at,GSM398089,Cancer,4659.2
215479_at,GSM398090,Normal,5493.92
215479_at,GSM398091,Cancer,6327.32
215479_at,GSM398092,Normal,4794.65
215479_at,GSM398093,Cancer,5051.68
215479_at,GSM398094,Normal,4997.79
215479_at,GSM398095,Cancer,3810.26
215479_at,GSM398096,Normal,4754.7
215479_at,GSM398097,Cancer,4630.93
215479_at,GSM398098,Normal,3977.69
215479_at,GSM398099,Cancer,4811.72
215479_at,GSM398100,Normal,2653.93
215479_at,GSM398101,Cancer,3629.39
215479_at,GSM398102,Normal,3113.69
215479_at,GSM398103,Cancer,3297.7
215479_at,GSM398104,Normal,6034.4
215479_at,GSM398105,Cancer,2405.94
215479_at,GSM398106,Normal,6661.95
215479_at,GSM398107,Cancer,2736.21
215479_at,GSM398108,Normal,6945.98
215479_at,GSM398109,Cancer,4097.18
215479_at,GSM398110,Normal,6204.98
215479_at,GSM398111,Cancer,3023.8
215479_at,GSM398112,Normal,3399.56
215479_at,GSM398113,Cancer,2720.58
215479_at,GSM398114,Normal,2515.37
215479_at,GSM398115,Cancer,2109.53
215479_at,GSM398116,Normal,4891.61
215479_at,GSM398117,Cancer,6439.7
215479_at,GSM398118,Normal,6162.46
215479_at,GSM398119,Cancer,5546.06
215479_at,GSM398120,Normal,3923.7
215479_at,GSM398121,Cancer,5601.85
215479_at,GSM398122,Normal,4851.16
215479_at,GSM398123,Cancer,5724.56
215479_at,GSM398124,Normal,5221.85
215479_at,GSM398125,Cancer,4012.8
215479_at,GSM398126,Normal,6510.89
215479_at,GSM398127,Cancer,5968.71
215479_at,GSM398128,Normal,6471.6
215479_at,GSM398129,Cancer,5694.47
215479_at,GSM398130,Normal,9018.46
215479_at,GSM398131,Cancer,4544.6
215479_at,GSM398132,Normal,8500.45
215479_at,GSM398133,Cancer,7739.59
215479_at,GSM398134,Normal,6742.4
215479_at,GSM398135,Cancer,6987.8
215479_at,GSM398136,Normal,5146.17
215479_at,GSM398137,Cancer,4913.54
215479_at,GSM398138,Normal,6092.66
215479_at,GSM398139,Cancer,5786.14
215479_at,GSM398140,Normal,6081.01
215479_at,GSM398141,Cancer,7168.88
215479_at,GSM398142,Normal,6205.76
215479_at,GSM398143,Cancer,4372.81
215479_at,GSM398144,Normal,5273.38
215479_at,GSM398145,Cancer,5949.22
215479_at,GSM398146,Normal,5251.26
215479_at,GSM398147,Cancer,5583.97
215479_at,GSM398148,Normal,5324.87
215479_at,GSM398149,Cancer,3632.89
215479_at,GSM398150,Normal,5955.78
215479_at,GSM398151,Cancer,4865.01
215479_at,GSM398152,Normal,5227.54
215479_at,GSM398153,Cancer,10259.4
215479_at,GSM398154,Normal,10994.3
215479_at,GSM398155,Cancer,12533.3
215479_at,GSM398156,Normal,6310.61
215479_at,GSM398157,Cancer,7815.3
215479_at,GSM398158,Normal,11515.7
215479_at,GSM398159,Cancer,6935.89
216342_x_at,GSM398074,Normal,1644.6
216342_x_at,GSM398075,Cancer,4727.23
216342_x_at,GSM398076,Normal,991.12
216342_x_at,GSM398077,Cancer,2388.92
216342_x_at,GSM398078,Normal,1931.68
216342_x_at,GSM398079,Cancer,2112.78
216342_x_at,GSM398080,Normal,1466.95
216342_x_at,GSM398081,Cancer,2850.68
216342_x_at,GSM398082,Normal,3626.88
216342_x_at,GSM398083,Cancer,1119.35
216342_x_at,GSM398084,Normal,2027.04
216342_x_at,GSM398085,Cancer,2565.38
216342_x_at,GSM398086,Normal,3347.87
216342_x_at,GSM398087,Cancer,3323.44
216342_x_at,GSM398088,Normal,1546.95
216342_x_at,GSM398089,Cancer,2768.05
216342_x_at,GSM398090,Normal,1365.46
216342_x_at,GSM398091,Cancer,3347.25
216342_x_at,GSM398092,Normal,2069.77
216342_x_at,GSM398093,Cancer,4049.56
216342_x_at,GSM398094,Normal,1973.36
216342_x_at,GSM398095,Cancer,2531.06
216342_x_at,GSM398096,Normal,2729.48
216342_x_at,GSM398097,Cancer,1068.53
216342_x_at,GSM398098,Normal,2010.73
216342_x_at,GSM398099,Cancer,1544.97
216342_x_at,GSM398100,Normal,2164.32
216342_x_at,GSM398101,Cancer,2244.63
216342_x_at,GSM398102,Normal,3251.62
216342_x_at,GSM398103,Cancer,2669.97
216342_x_at,GSM398104,Normal,3012.83
216342_x_at,GSM398105,Cancer,2059.31
216342_x_at,GSM398106,Normal,4278.18
216342_x_at,GSM398107,Cancer,1662.79
216342_x_at,GSM398108,Normal,6336.14
216342_x_at,GSM398109,Cancer,1969.97
216342_x_at,GSM398110,Normal,6377.78
216342_x_at,GSM398111,Cancer,2951.35
216342_x_at,GSM398112,Normal,2497.23
216342_x_at,GSM398113,Cancer,3986.02
216342_x_at,GSM398114,Normal,2204.65
216342_x_at,GSM398115,Cancer,2975.01
216342_x_at,GSM398116,Normal,7332.69
216342_x_at,GSM398117,Cancer,4410.6
216342_x_at,GSM398118,Normal,4121.22
216342_x_at,GSM398119,Cancer,3494.68
216342_x_at,GSM398120,Normal,2409.03
216342_x_at,GSM398121,Cancer,2824.19
216342_x_at,GSM398122,Normal,2252.0
216342_x_at,GSM398123,Cancer,2684.92
216342_x_at,GSM398124,Normal,3518.26
216342_x_at,GSM398125,Cancer,5979.48
216342_x_at,GSM398126,Normal,4147.93
216342_x_at,GSM398127,Cancer,6867.76
216342_x_at,GSM398128,Normal,4897.99
216342_x_at,GSM398129,Cancer,5607.83
216342_x_at,GSM398130,Normal,4510.17
216342_x_at,GSM398131,Cancer,5289.78
216342_x_at,GSM398132,Normal,3089.13
216342_x_at,GSM398133,Cancer,1881.45
216342_x_at,GSM398134,Normal,1595.04
216342_x_at,GSM398135,Cancer,5899.26
216342_x_at,GSM398136,Normal,1713.05
216342_x_at,GSM398137,Cancer,3010.18
216342_x_at,GSM398138,Normal,3661.33
216342_x_at,GSM398139,Cancer,2567.88
216342_x_at,GSM398140,Normal,3135.29
216342_x_at,GSM398141,Cancer,4991.9
216342_x_at,GSM398142,Normal,3445.56
216342_x_at,GSM398143,Cancer,5241.79
216342_x_at,GSM398144,Normal,2819.17
216342_x_at,GSM398145,Cancer,3809.74
216342_x_at,GSM398146,Normal,4248.4
216342_x_at,GSM398147,Cancer,5824.74
216342_x_at,GSM398148,Normal,3121.83
216342_x_at,GSM398149,Cancer,5624.31
216342_x_at,GSM398150,Normal,5776.96
216342_x_at,GSM398151,Cancer,4415.03
216342_x_at,GSM398152,Normal,1987.0
216342_x_at,GSM398153,Cancer,4816.89
216342_x_at,GSM398154,Normal,727.084
216342_x_at,GSM398155,Cancer,1461.85
216342_x_at,GSM398156,Normal,5189.32
216342_x_at,GSM398157,Cancer,3401.46
216342_x_at,GSM398158,Normal,5301.52
216342_x_at,GSM398159,Cancer,3868.47
217092_x_at,GSM398074,Normal,2604.06
217092_x_at,GSM398075,Cancer,6669.27
217092_x_at,GSM398076,Normal,1604.78
217092_x_at,GSM398077,Cancer,2463.05
217092_x_at,GSM398078,Normal,3888.27
217092_x_at,GSM398079,Cancer,2185.7
217092_x_at,GSM398080,Normal,1562.37
217092_x_at,GSM398081,Cancer,4523.75
217092_x_at,GSM398082,Normal,2165.26
217092_x_at,GSM398083,Cancer,3118.97
217092_x_at,GSM398084,Normal,3048.16
217092_x_at,GSM398085,Cancer,2923.56
217092_x_at,GSM398086,Normal,7157.56
217092_x_at,GSM398087,Cancer,4323.12
217092_x_at,GSM398088,Normal,1152.68
217092_x_at,GSM398089,Cancer,2852.61
217092_x_at,GSM398090,Normal,1150.08
217092_x_at,GSM398091,Cancer,4436.75
217092_x_at,GSM398092,Normal,1355.38
217092_x_at,GSM398093,Cancer,4578.5
217092_x_at,GSM398094,Normal,1404.05
217092_x_at,GSM398095,Cancer,3629.54
217092_x_at,GSM398096,Normal,2249.92
217092_x_at,GSM398097,Cancer,1746.36
217092_x_at,GSM398098,Normal,3763.79
217092_x_at,GSM398099,Cancer,1874.59
217092_x_at,GSM398100,Normal,1684.38
217092_x_at,GSM398101,Cancer,3486.2
217092_x_at,GSM398102,Normal,2135.44
217092_x_at,GSM398103,Cancer,1928.49
217092_x_at,GSM398104,Normal,2737.64
217092_x_at,GSM398105,Cancer,1409.94
217092_x_at,GSM398106,Normal,3046.51
217092_x_at,GSM398107,Cancer,1258.45
217092_x_at,GSM398108,Normal,2765.79
217092_x_at,GSM398109,Cancer,1949.72
217092_x_at,GSM398110,Normal,3927.75
217092_x_at,GSM398111,Cancer,4552.18
217092_x_at,GSM398112,Normal,3148.5
217092_x_at,GSM398113,Cancer,2263.95
217092_x_at,GSM398114,Normal,2255.69
217092_x_at,GSM398115,Cancer,3547.72
217092_x_at,GSM398116,Normal,9565.07
217092_x_at,GSM398117,Cancer,2974.38
217092_x_at,GSM398118,Normal,3928.34
217092_x_at,GSM398119,Cancer,2692.6
217092_x_at,GSM398120,Normal,3669.75
217092_x_at,GSM398121,Cancer,3415.22
217092_x_at,GSM398122,Normal,3439.99
